CANSpiN-ID,Author,Title,Reference Year
CANSpiN-spa-19_218,"Alas, Leopoldo [Clarín] ",La Regenta ,1885
CANSpiN-spa-19_219,"Alas, Leopoldo [Clarín] ",Su único hijo ,1890
CANSpiN-spa-19_220,"Pardo Bazán, Emilia ",Los pazos de Ulloa ,1886
CANSpiN-spa-19_221,"Pardo Bazán, Emilia ",La madre naturaleza ,1887
CANSpiN-spa-19_222,"Alarcón, Pedro Antonio de ",El Capitan Veneno ,1881
CANSpiN-spa-19_223,"Pereda, José María de ",Sotileza ,1885
CANSpiN-spa-19_224,"Pereda, José María de ",Peñas arriba ,1895
CANSpiN-spa-19_225,"Blasco Ibáñez, Vicente ",Arroz y tartana ,1894
CANSpiN-spa-19_226,"Blasco Ibáñez, Vicente ",La barraca ,1898
CANSpiN-spa-19_227,"Asensi, Julia de ",Santiago Arabal ,1894
CANSpiN-spa-19_228,"Barreras, Antonio ",El espadachín ,1880
CANSpiN-spa-19_229,"Coloma, Luis ",Pequeñeces ,1890
CANSpiN-spa-19_230,"Alberola, Ginés ",El sochantre de mi pueblo ,1890
CANSpiN-spa-19_231,"Sawa, Alejandro ",La mujer de todo el mundo ,1885
CANSpiN-spa-19_232,"Zamacois, Eduardo ",La enferma ,1896
CANSpiN-spa-19_233,"Castro, Rosalía de ",El primer loco ,1881
CANSpiN-spa-19_234,"Ganivet, Ángel ",La conquista del reino de Maya por el último conquistador español Pío Cid ,1897
CANSpiN-spa-19_235,"Octavio Picón, Jacinto ",Juan Vulgar ,1885
CANSpiN-spa-19_236,"Palacio Valdés, Armando ",Maximina ,1887
CANSpiN-spa-19_237,"Amorós y Vázquez de Figueroa, Juan Bautista [Silverio Lanza] ",Desde la quilla hasta el tope ,1891
CANSpiN-spa-19_238,"Palacio Valdés, Armando ",La espuma ,1890
CANSpiN-spa-19_239,"Ortega Munilla, José ",Don Juan Solo ,1889
CANSpiN-spa-19_240,"Rueda, Salvador ",La gitana ,1892
CANSpiN-spa-19_241,"López Bago, Eduardo ",La buscona ,1885
CANSpiN-spa-19_242,"Alas, Leopoldo [Clarín] ",Pipá ,1886
CANSpiN-spa-19_243,"Selgas y Carrasco, José ",Nona ,1883
CANSpiN-spa-19_244,"Pascual de Sanjuán, Pilar ",Flora o La educación de una niña ,1881
CANSpiN-spa-19_245,"Blanco, Ramiro ",El cercado ajeno ,1882
CANSpiN-spa-19_246,"Trigo, Felipe ",A todo honor ,1910
CANSpiN-spa-19_247,"Miró, Gabriel ",Las cerezas del cementerio ,1910
CANSpiN-spa-19_248,"Unamuno, Miguel de ",Niebla ,1914
CANSpiN-spa-19_249,"Trigo, Felipe ",Jarrapellejos ,1914
CANSpiN-spa-19_250,"Valle-Inclán, Ramón María del ",Sonata de estío ,1903
CANSpiN-spa-19_251,"Dicenta, Joaquín ",Las esmeraldas ,1915
CANSpiN-spa-19_252,"Burgos y Seguí, Carmen de [Colombine] ",Los inadaptados ,1909
CANSpiN-spa-19_253,"Ciges Aparicio, Manuel ",El Vicario ,1905
CANSpiN-spa-19_254,"Valle-Inclán, Ramón María del ",Sonata de otoño ,1902
CANSpiN-spa-19_255,"Valle-Inclán, Ramón María del ",El resplandor de la hoguera ,1909
CANSpiN-spa-19_256,"Zamacois, Eduardo ",Incesto ,1900
CANSpiN-spa-19_257,"Miró, Gabriel ",El abuelo del rey ,1915
CANSpiN-spa-19_258,"Miró, Gabriel ",El humo dormido ,1919
CANSpiN-spa-19_259,"Burgos y Seguí, Carmen de [Colombine] ",El último contrabandista ,1918
CANSpiN-spa-19_260,"Unamuno, Miguel de ",Abel Sánchez ,1917
CANSpiN-spa-19_261,"Unamuno, Miguel de ",Amor y pedagogía ,1902
CANSpiN-spa-19_262,"Maeztu, Ramiro de ",La guerra del Transvaal y los misterios de la Banca de Londres ,1900
CANSpiN-spa-19_263,"Pardo Bazán, Emilia ",Misterio ,1902
CANSpiN-spa-19_264,"Bobadilla, Emilio ",A fuego lento ,1903
CANSpiN-spa-19_265,"Burgos y Seguí, Carmen de [Colombine] ",La rampa ,1917
CANSpiN-spa-19_266,"Costa, Joaquín ",Último día del paganismo primero de... lo mismo ,1917
CANSpiN-spa-19_267,"Amorós y Vázquez de Figueroa, Juan Bautista [Silverio Lanza] ",La rendición de Santiago ,1907
CANSpiN-spa-19_268,"Ortega Munilla, José ",El paño pardo ,1914
CANSpiN-spa-19_269,"Blasco Ibáñez, Vicente ",Sangre y arena ,1908
CANSpiN-spa-19_270,"Coloma, Luis ","Jeromín, estudios históricos sobre el siglo XVI ",1905
